Country,Item,Year,yield,pest_value,emiss_value,ave_rain,ave_temp
Algeria,"Rice, paddy",2003,12879,3465,8.0166,8.65,23.441666666666666
Algeria,Sorghum,2003,26391,3465,8.0166,8.65,23.441666666666666
Algeria,Wheat,2003,14480,3465,8.0166,8.65,23.441666666666666
Algeria,Maize,2004,31729,3774,8.2309,8.158333333333333,23.191666666666663
Algeria,Potatoes,2004,203585,3774,8.2309,8.158333333333333,23.191666666666663
Algeria,"Rice, paddy",2004,12897,3774,8.2309,8.158333333333333,23.191666666666663
Algeria,Sorghum,2004,43316,3774,8.2309,8.158333333333333,23.191666666666663
Algeria,Wheat,2004,13582,3774,8.2309,8.158333333333333,23.191666666666663
Algeria,Maize,2005,33864,2811,8.3072,5.833333333333333,23.166666666666668
Algeria,Potatoes,2005,216267,2811,8.3072,5.833333333333333,23.166666666666668
Algeria,"Rice, paddy",2005,13043,2811,8.3072,5.833333333333333,23.166666666666668
Algeria,Sorghum,2005,33486,2811,8.3072,5.833333333333333,23.166666666666668
Algeria,Wheat,2005,15057,2811,8.3072,5.833333333333333,23.166666666666668
Algeria,Maize,2006,65668,2504,8.5347,7.775000000000001,23.358333333333334
Algeria,Potatoes,2006,220689,2504,8.5347,7.775000000000001,23.358333333333334
Algeria,"Rice, paddy",2006,12811,2504,8.5347,7.775000000000001,23.358333333333334
Algeria,Sorghum,2006,56728,2504,8.5347,7.775000000000001,23.358333333333334
Algeria,Wheat,2006,15068,2504,8.5347,7.775000000000001,23.358333333333334
Algeria,Maize,2007,85625,3563,8.6251,7.208333333333333,23.191666666666663
Algeria,Potatoes,2007,189927,3563,8.6251,7.208333333333333,23.191666666666663
Algeria,"Rice, paddy",2007,13385,3563,8.6251,7.208333333333333,23.191666666666663
Algeria,Sorghum,2007,119059,3563,8.6251,7.208333333333333,23.191666666666663
Algeria,Wheat,2007,12742,3563,8.6251,7.208333333333333,23.191666666666663
Algeria,Maize,2008,44714,5720,8.5859,6.666666666666667,23.066666666666663
Algeria,Potatoes,2008,236393,5720,8.5859,6.666666666666667,23.066666666666663
Algeria,"Rice, paddy",2008,13975,5720,8.5859,6.666666666666667,23.066666666666663
Algeria,Sorghum,2008,61786,5720,8.5859,6.666666666666667,23.066666666666663
Algeria,Wheat,2008,11038,5720,8.5859,6.666666666666667,23.066666666666663
Algeria,Maize,2009,30914,3168,8.8973,7.541666666666667,23.474999999999998
Algeria,Potatoes,2009,250764,3168,8.8973,7.541666666666667,23.474999999999998
Algeria,"Rice, paddy",2009,14612,3168,8.8973,7.541666666666667,23.474999999999998
Algeria,Sorghum,2009,90465,3168,8.8973,7.541666666666667,23.474999999999998
Algeria,Wheat,2009,15975,3168,8.8973,7.541666666666667,23.474999999999998
Algeria,Maize,2010,25827,1870,9.2681,7.699999999999999,23.708333333333332
Algeria,Potatoes,2010,270526,1870,9.2681,7.699999999999999,23.708333333333332
Algeria,"Rice, paddy",2010,15369,1870,9.2681,7.699999999999999,23.708333333333332
Algeria,Sorghum,2010,30286,1870,9.2681,7.699999999999999,23.708333333333332
Algeria,Wheat,2010,14838,1870,9.2681,7.699999999999999,23.708333333333332
Algeria,Maize,2011,23374,7612,9.5338,8.033333333333333,23.399999999999995
Algeria,Potatoes,2011,292806,7612,9.5338,8.033333333333333,23.399999999999995
Algeria,"Rice, paddy",2011,16080,7612,9.5338,8.033333333333333,23.399999999999995
Algeria,Sorghum,2011,100000,7612,9.5338,8.033333333333333,23.399999999999995
Algeria,Wheat,2011,17405,7612,9.5338,8.033333333333333,23.399999999999995
Algeria,Maize,2012,25583,8980,9.8658,6.958333333333333,23.383333333333336
Algeria,Potatoes,2012,304291,8980,9.8658,6.958333333333333,23.383333333333336
Algeria,"Rice, paddy",2012,16667,8980,9.8658,6.958333333333333,23.383333333333336
Algeria,Sorghum,2012,206000,8980,9.8658,6.958333333333333,23.383333333333336
Algeria,Wheat,2012,17639,8980,9.8658,6.958333333333333,23.383333333333336
Algeria,Maize,2013,33649,8270,10.2211,7.416666666666667,23.09166666666667
Algeria,Potatoes,2013,303218,8270,10.2211,7.416666666666667,23.09166666666667
Algeria,"Rice, paddy",2013,17778,8270,10.2211,7.416666666666667,23.09166666666667
Algeria,Sorghum,2013,60000,8270,10.2211,7.416666666666667,23.09166666666667
Algeria,Wheat,2013,19100,8270,10.2211,7.416666666666667,23.09166666666667
Algeria,Maize,2014,26165,7152,10.599,6.199999999999999,23.558333333333337
Algeria,Potatoes,2014,299247,7152,10.599,6.199999999999999,23.558333333333337
Algeria,"Rice, paddy",2014,17778,7152,10.599,6.199999999999999,23.558333333333337
Algeria,Sorghum,2014,62000,7152,10.599,6.199999999999999,23.558333333333337
Algeria,Wheat,2014,14753,7152,10.599,6.199999999999999,23.558333333333337
Algeria,Maize,2015,39242,4517,10.7977,6.25,23.416666666666668
Algeria,Potatoes,2015,296099,4517,10.7977,6.25,23.416666666666668
Algeria,"Rice, paddy",2015,18013,4517,10.7977,6.25,23.416666666666668
Algeria,Sorghum,2015,121689,4517,10.7977,6.25,23.416666666666668
Algeria,Wheat,2015,14640,4517,10.7977,6.25,23.416666666666668
Algeria,Maize,2016,45129,4153,10.8144,5.641666666666666,23.649999999999995
Algeria,Potatoes,2016,304506,4153,10.8144,5.641666666666666,23.649999999999995
Algeria,"Rice, paddy",2016,18406,4153,10.8144,5.641666666666666,23.649999999999995
Algeria,Sorghum,2016,255214,4153,10.8144,5.641666666666666,23.649999999999995
Algeria,Wheat,2016,11833,4153,10.8144,5.641666666666666,23.649999999999995
Algeria,Maize,2017,13007,6067,10.6504,6.008333333333334,23.49166666666667
Algeria,Potatoes,2017,309524,6067,10.6504,6.008333333333334,23.49166666666667
Algeria,"Rice, paddy",2017,19000,6067,10.6504,6.008333333333334,23.49166666666667
Algeria,Sorghum,2017,159391,6067,10.6504,6.008333333333334,23.49166666666667
Algeria,Wheat,2017,11501,6067,10.6504,6.008333333333334,23.49166666666667
Algeria,Maize,2018,18409,6067,10.6829,7.766666666666667,23.108333333333334
Algeria,Potatoes,2018,310916,6067,10.6829,7.766666666666667,23.108333333333334
Algeria,"Rice, paddy",2018,19508,6067,10.6829,7.766666666666667,23.108333333333334
Algeria,Sorghum,2018,136679,6067,10.6829,7.766666666666667,23.108333333333334
Algeria,Wheat,2018,19076,6067,10.6829,7.766666666666667,23.108333333333334
Botswana,Maize,1990,2899,17,3.3585,23.974999999999998,21.90833333333333
Botswana,Sorghum,1990,2500,17,3.3585,23.974999999999998,21.90833333333333
Botswana,Wheat,1990,26178,17,3.3585,23.974999999999998,21.90833333333333
Botswana,Maize,1991,3962,19,2.9357,37.35833333333334,21.70833333333334
Botswana,Sorghum,1991,3663,19,2.9357,37.35833333333334,21.70833333333334
Botswana,Wheat,1991,22255,19,2.9357,37.35833333333334,21.70833333333334
Botswana,Maize,1992,1899,17,2.6887,18.616666666666664,22.558333333333334
Botswana,Sorghum,1992,2909,17,2.6887,18.616666666666664,22.558333333333334
Botswana,Wheat,1992,21459,17,2.6887,18.616666666666664,22.558333333333334
Botswana,Maize,1993,1353,17,2.4575,25.358333333333334,22.108333333333334
Botswana,Sorghum,1993,5236,17,2.4575,25.358333333333334,22.108333333333334
Botswana,Wheat,1993,20709,17,2.4575,25.358333333333334,22.108333333333334
Botswana,Maize,1994,1698,17,2.7547,24.25,21.575000000000003
Botswana,Sorghum,1994,2182,17,2.7547,24.25,21.575000000000003
Botswana,Wheat,1994,19881,17,2.7547,24.25,21.575000000000003
Botswana,Maize,1995,9477,17,3.4231,27.125,22.208333333333332
Botswana,Sorghum,1995,3597,17,3.4231,27.125,22.208333333333332
Botswana,Wheat,1995,19108,17,3.4231,27.125,22.208333333333332
Botswana,Maize,1996,2463,17,3.0602,35.03333333333334,21.633333333333336
Botswana,Sorghum,1996,3592,17,3.0602,35.03333333333334,21.633333333333336
Botswana,Wheat,1996,18922,17,3.0602,35.03333333333334,21.633333333333336
Botswana,Maize,1997,2867,17,3.1124,36.46666666666667,21.816666666666666
Botswana,Sorghum,1997,2455,17,3.1124,36.46666666666667,21.816666666666666
Botswana,Wheat,1997,17218,17,3.1124,36.46666666666667,21.816666666666666
Botswana,Maize,1998,910,17,3.1745,31.28333333333333,22.425
Botswana,Sorghum,1998,3364,17,3.1745,31.28333333333333,22.425
Botswana,Wheat,1998,16667,17,3.1745,31.28333333333333,22.425
Botswana,Maize,1999,1111,17,3.3741,29.974999999999998,22.21666666666667
Botswana,Sorghum,1999,2669,17,3.3741,29.974999999999998,22.21666666666667
Botswana,Wheat,1999,16321,17,3.3741,29.974999999999998,22.21666666666667
Botswana,Maize,2000,1123,17,3.4009,37.89166666666667,21.516666666666666
Botswana,Sorghum,2000,1573,17,3.4009,37.89166666666667,21.516666666666666
Botswana,Wheat,2000,15876,17,3.4009,37.89166666666667,21.516666666666666
Botswana,Maize,2001,1992,17,3.2731,34.875,21.916666666666668
Botswana,Sorghum,2001,11538,17,3.2731,34.875,21.916666666666668
Botswana,Wheat,2001,15714,17,3.2731,34.875,21.916666666666668
Botswana,Maize,2002,2947,17,2.7719,29.400000000000002,22.108333333333334
Botswana,Sorghum,2002,4218,17,2.7719,29.400000000000002,22.108333333333334
Botswana,Wheat,2002,14545,17,2.7719,29.400000000000002,22.108333333333334
Botswana,Maize,2003,2144,17,2.7367,29.424999999999997,22.383333333333336
Botswana,Sorghum,2003,16808,17,2.7367,29.424999999999997,22.383333333333336
Botswana,Wheat,2003,13674,17,2.7367,29.424999999999997,22.383333333333336
Botswana,Maize,2004,1743,17,2.7941,34.56666666666667,22.458333333333332
Botswana,Sorghum,2004,3343,17,2.7941,34.56666666666667,22.458333333333332
Botswana,Wheat,2004,12683,17,2.7941,34.56666666666667,22.458333333333332
Botswana,Maize,2005,2297,17,2.9366,30.883333333333336,22.858333333333334
Botswana,Sorghum,2005,18316,17,2.9366,30.883333333333336,22.858333333333334
Botswana,Wheat,2005,11604,17,2.9366,30.883333333333336,22.858333333333334
Botswana,Maize,2006,2511,17,2.9744,35.00833333333333,21.90833333333333
Botswana,Sorghum,2006,5024,17,2.9744,35.00833333333333,21.90833333333333
Botswana,Wheat,2006,10447,17,2.9744,35.00833333333333,21.90833333333333
Botswana,Maize,2007,1219,17,2.9273,29.541666666666668,22.2
Botswana,Sorghum,2007,9979,17,2.9273,29.541666666666668,22.2
Botswana,Wheat,2007,9000,17,2.9273,29.541666666666668,22.2
Botswana,Maize,2008,1844,17,3.0565,33.24166666666666,22.325
Botswana,Sorghum,2008,5507,17,3.0565,33.24166666666666,22.325
Botswana,Wheat,2008,8000,17,3.0565,33.24166666666666,22.325
Botswana,Maize,2009,2429,17,3.2833,33.075,22.45
Botswana,Sorghum,2009,5042,17,3.2833,33.075,22.45
Botswana,Maize,2010,1617,17,3.4333,38.775000000000006,22.466666666666665
Botswana,Sorghum,2010,5701,17,3.4333,38.775000000000006,22.466666666666665
Botswana,Maize,2011,3473,17,3.3198,38.75833333333333,21.908333333333335
Botswana,Sorghum,2011,6690,17,3.3198,38.75833333333333,21.908333333333335
Botswana,Maize,2012,1370,17,2.9204,30.075000000000003,22.191666666666666
Botswana,Sorghum,2012,6779,17,2.9204,30.075000000000003,22.191666666666666
Botswana,Maize,2013,849,17,2.7525,32.116666666666674,22.058333333333337
Botswana,Sorghum,2013,3168,17,2.7525,32.116666666666674,22.058333333333337
Botswana,Maize,2014,2740,17,2.179,31.066666666666666,22.141666666666666
Botswana,Sorghum,2014,2851,17,2.179,31.066666666666666,22.141666666666666
Botswana,Maize,2015,2552,17,2.2215,28.725000000000005,22.791666666666668
Botswana,Sorghum,2015,13729,17,2.2215,28.725000000000005,22.791666666666668
Botswana,Maize,2016,2215,17,2.0151,31.366666666666664,22.799999999999997
Botswana,Sorghum,2016,7444,17,2.0151,31.366666666666664,22.799999999999997
Botswana,Maize,2017,2403,17,1.5097,36.63333333333333,22.233333333333334
Botswana,Potatoes,2017,154313,17,1.5097,36.63333333333333,22.233333333333334
Botswana,Sorghum,2017,3619,17,1.5097,36.63333333333333,22.233333333333334
Botswana,Maize,2018,3215,17,1.5239,31.566666666666674,22.433333333333337
Botswana,Potatoes,2018,154768,17,1.5239,31.566666666666674,22.433333333333337
Botswana,Sorghum,2018,8764,17,1.5239,31.566666666666674,22.433333333333337
Botswana,Sweet potatoes,2018,114286,17,1.5239,31.566666666666674,22.433333333333337
Botswana,Wheat,2018,13319,17,1.5239,31.566666666666674,22.433333333333337
Burundi,Cassava,1990,88969,92,0.8325,103.07499999999999,20.408333333333335
Burundi,"Coffee, green",1990,7742,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Maize,1990,13540,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Potatoes,1990,34836,92,0.8325,103.07499999999999,20.408333333333335
Burundi,"Rice, paddy",1990,33333,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Sorghum,1990,10983,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Soybeans,1990,10000,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Sweet potatoes,1990,64427,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Tea,1990,7742,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Wheat,1990,7478,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Yams,1990,57576,92,0.8325,103.07499999999999,20.408333333333335
Burundi,Cassava,1991,89785,92,0.8249,101.29166666666667,20.4
Burundi,"Coffee, green",1991,9001,92,0.8249,101.29166666666667,20.4
Burundi,Maize,1991,13887,92,0.8249,101.29166666666667,20.4
Burundi,Potatoes,1991,30873,92,0.8249,101.29166666666667,20.4
Burundi,"Rice, paddy",1991,30923,92,0.8249,101.29166666666667,20.4
Burundi,Sorghum,1991,11241,92,0.8249,101.29166666666667,20.4
Burundi,Soybeans,1991,10000,92,0.8249,101.29166666666667,20.4
Burundi,Sweet potatoes,1991,64810,92,0.8249,101.29166666666667,20.4
Burundi,Tea,1991,8842,92,0.8249,101.29166666666667,20.4
Burundi,Wheat,1991,7333,92,0.8249,101.29166666666667,20.4
Burundi,Yams,1991,55714,92,0.8249,101.29166666666667,20.4
Burundi,Cassava,1992,92046,92,0.8547,92.52499999999999,20.383333333333336
Burundi,"Coffee, green",1992,9304,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Maize,1992,14218,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Potatoes,1992,33357,92,0.8547,92.52499999999999,20.383333333333336
Burundi,"Rice, paddy",1992,31077,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Sorghum,1992,11517,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Soybeans,1992,8978,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Sweet potatoes,1992,63418,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Tea,1992,10657,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Wheat,1992,7120,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Yams,1992,55517,92,0.8547,92.52499999999999,20.383333333333336
Burundi,Cassava,1993,89833,97,0.8277,87.80833333333334,20.308333333333334
Burundi,"Coffee, green",1993,8211,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Maize,1993,14342,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Potatoes,1993,29801,97,0.8277,87.80833333333334,20.308333333333334
Burundi,"Rice, paddy",1993,31404,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Sorghum,1993,11259,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Soybeans,1993,8683,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Sweet potatoes,1993,64762,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Tea,1993,9000,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Wheat,1993,7787,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Yams,1993,55595,97,0.8277,87.80833333333334,20.308333333333334
Burundi,Cassava,1994,87884,84,0.741,101.31666666666666,20.466666666666665
Burundi,"Coffee, green",1994,9385,84,0.741,101.31666666666666,20.466666666666665
Burundi,Maize,1994,12276,84,0.741,101.31666666666666,20.466666666666665
Burundi,Potatoes,1994,29453,84,0.741,101.31666666666666,20.466666666666665
Burundi,"Rice, paddy",1994,31120,84,0.741,101.31666666666666,20.466666666666665
Burundi,Sorghum,1994,9938,84,0.741,101.31666666666666,20.466666666666665
Burundi,Soybeans,1994,8000,84,0.741,101.31666666666666,20.466666666666665
Burundi,Sweet potatoes,1994,60149,84,0.741,101.31666666666666,20.466666666666665
Burundi,Tea,1994,10380,84,0.741,101.31666666666666,20.466666666666665
Burundi,Wheat,1994,8824,84,0.741,101.31666666666666,20.466666666666665
Burundi,Yams,1994,55785,84,0.741,101.31666666666666,20.466666666666665
Burundi,Cassava,1995,87141,144,0.7665,97.85000000000001,20.749999999999996
Burundi,"Coffee, green",1995,7290,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Maize,1995,12752,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Potatoes,1995,29691,144,0.7665,97.85000000000001,20.749999999999996
Burundi,"Rice, paddy",1995,26819,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Sorghum,1995,13168,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Soybeans,1995,8319,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Sweet potatoes,1995,61230,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Tea,1995,9752,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Wheat,1995,7440,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Yams,1995,56001,144,0.7665,97.85000000000001,20.749999999999996
Burundi,Cassava,1996,85779,207,0.7463,91.11666666666667,20.474999999999998
Burundi,"Coffee, green",1996,7904,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Maize,1996,13133,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Potatoes,1996,29736,207,0.7463,91.11666666666667,20.474999999999998
Burundi,"Rice, paddy",1996,27873,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Sorghum,1996,13206,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Soybeans,1996,8264,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Sweet potatoes,1996,62061,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Tea,1996,7505,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Wheat,1996,7755,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Yams,1996,56292,207,0.7463,91.11666666666667,20.474999999999998
Burundi,Cassava,1997,86182,118,0.7569,108.89999999999998,20.73333333333333
Burundi,"Coffee, green",1997,6893,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Maize,1997,12608,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Potatoes,1997,32397,118,0.7569,108.89999999999998,20.73333333333333
Burundi,"Rice, paddy",1997,32551,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Sorghum,1997,12401,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Soybeans,1997,8248,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Sweet potatoes,1997,61879,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Tea,1997,5559,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Wheat,1997,7774,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Yams,1997,56226,118,0.7569,108.89999999999998,20.73333333333333
Burundi,Cassava,1998,88820,107,0.7245,107.18333333333332,20.666666666666668
Burundi,"Coffee, green",1998,6049,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Maize,1998,11463,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Potatoes,1998,25950,107,0.7245,107.18333333333332,20.666666666666668
Burundi,"Rice, paddy",1998,29927,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Sorghum,1998,12487,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Soybeans,1998,8000,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Sweet potatoes,1998,59048,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Tea,1998,8892,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Wheat,1998,8148,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Yams,1998,56668,107,0.7245,107.18333333333332,20.666666666666668
Burundi,Cassava,1999,88212,150,0.8113,96.89166666666665,20.633333333333333
Burundi,"Coffee, green",1999,9103,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Maize,1999,11192,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Potatoes,1999,24393,150,0.8113,96.89166666666665,20.633333333333333
Burundi,"Rice, paddy",1999,32572,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Sorghum,1999,11998,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Soybeans,1999,7778,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Sweet potatoes,1999,65551,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Tea,1999,9153,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Wheat,1999,7085,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Yams,1999,58009,150,0.8113,96.89166666666665,20.633333333333333
Burundi,Cassava,2000,89953,110,0.816,89.72499999999998,20.741666666666664
Burundi,"Coffee, green",2000,10877,110,0.816,89.72499999999998,20.741666666666664
Burundi,Maize,2000,10521,110,0.816,89.72499999999998,20.741666666666664
Burundi,Potatoes,2000,24671,110,0.816,89.72499999999998,20.741666666666664
Burundi,"Rice, paddy",2000,30399,110,0.816,89.72499999999998,20.741666666666664
Burundi,Sorghum,2000,12123,110,0.816,89.72499999999998,20.741666666666664
Burundi,Soybeans,2000,7273,110,0.816,89.72499999999998,20.741666666666664
Burundi,Sweet potatoes,2000,62489,110,0.816,89.72499999999998,20.741666666666664
Burundi,Tea,2000,43081,110,0.816,89.72499999999998,20.741666666666664
Burundi,Wheat,2000,6774,110,0.816,89.72499999999998,20.741666666666664
Burundi,Yams,2000,60175,110,0.816,89.72499999999998,20.741666666666664
Burundi,Cassava,2001,89591,73,0.8161,113.83333333333333,20.74166666666667
Burundi,"Coffee, green",2001,10920,73,0.8161,113.83333333333333,20.74166666666667
Burundi,Maize,2001,10817,73,0.8161,113.83333333333333,20.74166666666667
Burundi,Potatoes,2001,24933,73,0.8161,113.83333333333333,20.74166666666667
Burundi,"Rice, paddy",2001,32063,73,0.8161,113.83333333333333,20.74166666666667
Burundi,Sorghum,2001,12559,73,0.8161,113.83333333333333,20.74166666666667
