WISE3_id,ISO,DESCR,DATEYR,DATEMON,SOLDEP,HORNUM,FAO_90,PHA_90,FAO_74,PHA_74,WRB2006,USCL,USYR,LOCAL,LONDD,LATDD,LONLAT_ACC,LOCAT,KOPPEN,ALTIT,LFORM,POSIT,SLOPE,PARMAT,DRAIN,LANDUS,SOURCE_ID,PITREF,LAB_ID,COUNTRY
"AL0007","AL","1",1994,4,160,6,"CMc",,"Be",,"CM","Fluventic Xerochrept","1994","Al - Fluviatile soils",1.9995560000000001e+01,4.1069440000000000e+01,"S","Near to Luhshnja, at IFDC experimental site",,90,"LV","BO","3","UF","I","AA6","EU14/19","p. 94 (pedon 9)","US01","Albania"
"AL0008","AL","1",1994,4,100,4,"CMc",,"Be",,"CM","Udic ustropept","1994","LMP - dark meadow forest",2.0647220000000001e+01,4.0215000000000003e+01,"S",,,1080,"SM","UP","7","UC","W","HI","EU14/19","p. 67 (pedon 4)","US01","Albania"
"AL0009","AL","1",1994,4,110,6,"KSk",,"Kk",,"KS","Udic Calciustolls","1994","KL - cinnamon meadow",2.0784440000000000e+01,4.0637219999999999e+01,"S","University plot near Korca",,980,"CV","LS","3","UC","W","AA6","EU14/19","p. 76 (pedon 6)","US01","Albania"
"AL0010","AL","1",1994,3,110,5,"KSk",,"Kk",,"KS","Pachic Calcixeroll","1994","HKL - gray cinnamon meadow",1.9483609999999999e+01,4.0345280000000002e+01,"S","Along road form Vlora to Saranda",,6,"LV","LO","1","UC","W","AA","EU14/19","p. 56 (pedon 2)","US01","Albania"
"AL0011","AL","1",1994,4,130,6,"LVg",,"Lg",,"LV","Aquic haplustalf","1994","Al - fluvial soils",1.9770280000000000e+01,4.1377780000000001e+01,"S","Exp. station of Soil Sci. Institute at Tirana",,100,"LV",,"2","UL","M","AA","EU14/19","p. 123 (pedon 17)","US01","Albania"
"AL0012","AL","1",1994,5,173,7,"LVh",,"Lo",,"LV","Udic Haplustalf","1994","Al - fluviatile soil",2.0958890000000000e+01,4.0655279999999998e+01,"S","Tren (Korce)",,860,"CV",,"1","UL","M","AA","EU14/19","p. 138 (pedon 18)","US01","Albania"
"AL0013","AL","1",1994,4,180,6,"LVh",,"Lo",,"LV","Udic Haplustalf","1994","Kl - cinnamon meadow",2.0732500000000002e+01,4.0564439999999998e+01,"S","Korca valley",,1020,"CV","LS","2","UL","W","AA6","EU14/19","p. 72 (pedon 5)","US01","Albania"
"AL0014","AL","1",1994,4,130,5,"LVx",,"Lc",,"LV","Udic Rhodustalf","1994","KM - cinammon mountain",2.0406389999999998e+01,4.1692779999999999e+01,"S","3 km North of Peshkopi",,640,"SM","LO","5","UC","W","AA","EU14/19","p. 114 (pedon 13)","US01","Albania"
"AL0015","AL","1",1994,4,180,6,"PHh",,"Hh",,"PH","Fluventic Haplustolls","1994","AL - fluviatile soils",1.9762499999999999e+01,4.1369999999999997e+01,"S","Tirana, IFDC site",,90,"LV",,"2","UL","M","AA4","EU14/19","p. 123 (pedon 15)","US01","Albania"
"AL0016","AL","1",1994,4,121,6,"PHh",,"Hh",,"PH","Pachic Calciustoll","1994","LT - Bogy soils",2.0710830000000001e+01,4.0721670000000003e+01,"S","Moaliq valey, 15 km N of Korca",,980,"CV","BO","1","UF","M","AA","EU14/19","p. 83 (pedon7)","US01","Albania"
"AL0017","AL","1",1994,3,170,8,"PHj",,"Hg",,"PH","Vertic Argiaquoll","1994","LHK - meadow grey cinnamon",2.0026669999999999e+01,3.9817500000000003e+01,"S","Valley of Vurgu",,50,"LV","UP","1","UL","P","AA","EU14/19","p. 62 (pedon 3)","US01","Albania"
"AL0018","AL","1",1994,4,153,6,"PHl",,"Hl",,"PH","Luvic Phaeozem","1994","LK - meadow cinnamon",1.9509720000000002e+01,4.2091940000000001e+01,"S","Near Shkroder",,20,"LV",,"1","UL","W","AA6","EU14/19","p. 104 (pedon 11)","US01","Albania"
"AL0019","AL","1",1994,3,137,6,"SCn",,"Zo",,"SC","Fine, mont. (calc), thermic Vertic Halaquept","1994","K - Solonchak",9.2416669999999996e+01,4.0715560000000004e+01,"M","Near town of Fieri",,2,"LP",,"5","UL","V","HE","EU14/19","p. 50 (pedon 1)","US01","Albania"
"AL0020","AL","1",1994,4,170,7,"VRe","SO","Vp","SO","VR","Typic Endoaquert","1994","LT - Boggy soils",1.9646110000000000e+01,4.0985830000000000e+01,"S","Terbuf (Lushnje)",,22,"LP",,"1","UL","V","AA6","EU14/19","p. 129 (pedon 16)","US01","Albania"
"AL0021","AL","1",1994,4,180,6,"VRe",,"Vc",,"VR","Chromic Udic Haplustert","1994","KM - cinnamon mountain",1.9994170000000000e+01,4.1627499999999998e+01,"S",,,220,"SM",,"10","UC","I","HI","EU14/19","p. 119 (pedon 14)","US01","Albania"
"AL0022","AL","1",1994,4,120,5,"VRe",,"Vc",,"VR","Aquic Haploxerert","1994","KM - cinnamon mountain",2.0324999999999999e+01,4.2075000000000003e+01,"S","Dukagin (Kukes)",,560,"LL","LS","4","UC","I","AA","EU14/19","p. 109 (pedon 12)","US01","Albania"
"AL0023","AL","1",1994,4,175,7,"VRe",,"Vc",,"VR","Udic Haploxerert","1994","LHK - meadow gray cinnamon",1.9687500000000000e+01,4.0950830000000003e+01,"S","Near Luhnsja, at IFDC experimenbtal site",,,"LV",,"2","UL","I","AA6","EU14/19","p. 98 (pedon 10)","US01","Albania"
"AL0024","AL","1",1995,6,180,7,"CMc",,"Bk",,"CM","Aquic Ustrochrept","1994","AL - Fluviatile soils",1.9526940000000000e+01,4.2000830000000001e+01,"S","Melginhe",,40,"LP",,"1","UL","I","AA4","EU14/19","p. 191 (pedon28)","US01","Albania"
"AL0025","AL","1",1995,6,140,6,"CMc",,"Bk",,"CM","Aquic Ustochrept","1994","Al - fluviatile soils",1.9683610000000002e+01,4.1637779999999999e+01,"S","Lac",,4,"LP",,"1","UM","I","AA","EU14/19","p. 185 (pedon 27)","US01","Albania"
"AL0026","AL","2",1995,6,170,7,"CMv",,"Bv",,"CM","Vertic Endoaquert","1994","LHK - meadow gray cinnamonic",1.9535560000000000e+01,4.1185830000000003e+01,"S","Synej (Kavaje)",,9,"LP",,"1","UL","P","AA4","EU14/19","p. 180 (pedon26)","US01","Albania"
"AL0027","AL","1",1995,6,185,7,"FLe",,"Je",,"FL","Aquic Ustifluvent","1994","Al - fluviatile soil",1.9460280000000001e+01,4.2008060000000000e+01,"S","Oblike",,51,"LP",,"2","UL","I","AA","EU14/19","p. 195 (pedon 29)","US01","Albania"
"AL0028","AL","1",1995,5,190,7,"LVg",,"Lg",,"LV","Aeric Endoaqualf","1994","KL - cinnamon meadow",2.0701390000000000e+01,4.0880000000000003e+01,"S","Bacimas (Pogradeg)",,740,"CV",,"2","UL","P","AA4","EU14/19","p. 148 (pedon 20)","US01","Albania"
"AL0029","AL","1",1995,5,170,6,"LVh",,"Lo",,"LV","Typic Haploxeralf","1994","AL - fluviatile soil",1.9941389999999998e+01,4.0764440000000000e+01,"S","Lapradha (Berat)",,100,"LP",,"1","UL","E","AA4","EU14/19","p. 164 (pedon 23)","US01","Albania"
"AL0030","AL","1",1995,5,170,7,"LVh",,"Lo",,"LV","Udertic Haplustalf","1994","KL - cinnamon meadow",2.0816109999999998e+01,4.0661110000000001e+01,"S","Bilisht to Korce road",,900,"CV",,"3","UL","W","AA4","EU14/19","p. 143 (pedon 19)","US01","Albania"
"AL0031","AL","1",1995,5,110,5,"LVh",,"Lo",,"LV","Typic Haploxeralf","1994","HK - gray cinnamon",1.9708330000000000e+01,4.0730829999999997e+01,"S","Roskovec (Fier)",,95,"SH",,"5","UC","W","AA","EU14/19","p. 169 (pedon 24)","US01","Albania"
"AL0032","AL","1",1995,5,163,6,"LVv",,"Lv",,"LV","Veric Paleustalf","1994","KM - cinnamon mountain",2.0630559999999999e+01,4.1064720000000001e+01,"S","Cervence (Pogradeg)",,770,"SM",,"12","UC","I","AA","EU14/19","p. 154 (pedon 21)","US01","Albania"
"AL0033","AL","1",1995,6,160,7,"PHh",,"Hh",,"PH","Fluvaquenbtic Haplustoll","1994","Al- fluviatile soils",1.9682780000000001e+01,4.1724170000000001e+01,"S","1 km W of main road from Lezha to Tirana",,10,"LP",,"1","UL","W","AA4","EU14/19","p. 200 (pedon 30)","US01","Albania"
"AL0034","AL","1",1995,6,126,7,"SCn",,"Zo",,"SC","Vertic Halaquept","1994","K - Solonchak",1.9463609999999999e+01,4.0616390000000003e+01,"S","Novesle (Vlore)",,15,"LP",,"1","UL","I","AA","EU14/19","p. 174 (pedon 25)","US01","Albania"
"AL0035","AL","1",1995,5,180,7,"VRe",,"Vc",,"VR","Chromic Haplustert","1994","LK-mg meadow cinnamon soils",2.0637779999999999e+01,4.1064720000000001e+01,"S","Lin Fshat (Pogradec)",,720,"CV",,"2","UC","M","AA","EU14/19","p. 115 (pedon 22)","US01","Albania"
"AM0001","AM","3",1974,,258,6,"CHk",,"Ck",,"CH",,,"Mountain chernozem",4.4750000000000000e+01,4.0483330000000002e+01,"M","5 km NE of Hrazdan.","H",1800,"LL","UP","4","IB2","W","HI1","EU16/EMB/5","Profile 564, pp 53-68.","RU01","Armenia"
"AM0002","AM","3",1974,,140,5,"CMc",,"Bk",,"CM",,,"Mountain dark brown semi-desert soil",4.4516669999999998e+01,4.0166670000000003e+01,"M","NW fringe of Yerevan","Csa",1080,"SH","UP","8","IB2","W","HI1","EU16/EMB/5","Profile 566, pp 82-97.","RU01","Armenia"
"AM0003","AM","3",1974,,143,6,"CMc",,"Bk",,"CM",,,"Mountain cinnamonic soil",4.5100000000000001e+01,4.0899999999999999e+01,"M","10 km SW of Idzhevan.","Csa",980,"LV","IN","15","IA3","W","FN1","EU16/EMB/5","Profile 560, pp 15-29.","AM01","Armenia"
"AM0004","AM","3",1974,,275,6,"CMe",,"Be",,"CM",,,"Mountain brown forest soil",4.4866669999999999e+01,4.0766669999999998e+01,"M","Dilizhan","Csa",650,"SM","LS","14","SO1","W","FN1","EU16/EMB/5","Profile 562, pp 29-44.","RU01","Armenia"
"AM0005","AM","3",1974,,166,6,"KSk",,"Kk",,"KS",,,"Mountain Chestnut soil",4.4600000000000001e+01,4.0283329999999999e+01,"M","5 km N of Abovian (Arzini).","Csa",1500,"SR","UP",,"IB2","W","HI1","EU16/EMB/5","Profile 565, pp 68-81.","RU01","Armenia"
"AM0006","AM","3",1974,,180,5,"PHh",,"Hh",,"PH",,,"Mountain meadow-steppe chernozem-like soil",4.4916670000000003e+01,4.0750000000000000e+01,"M","Semenkova (Dilizhan).","H",2300,"SM","UP","12","MA1","W","HI1","EU16/EMB/5","Profile 563, PP44-52.","RU01","Armenia"
"AN0001","AN","2",1981,1,100,4,"ALh",,"Ao",,"AL",,,,-6.3236939999999997e+01,1.7645000000000000e+01,"S",,,700,,,,,"W",,"SOTERLAC2","ANugs115/P117","XX03","Netherlands Antilles"
"AN0002","AN","2",1981,1,100,3,"ANu",,"Th",,"AN",,,,-6.3235830000000000e+01,1.7645830000000000e+01,"S",,,790,,,,,"M",,"SOTERLAC2","ANugs115/P116","XX03","Netherlands Antilles"
"AO0001","AO","3",1969,,160,5,"ACh",,"Af",,"AC",,,"Solos Ferralicos argilacoes vermelhos",1.5000000000000000e+01,-1.1000000000000000e+01,"D","Colonato de Cela, Distr. of Cuanza de Sul","Cwb",,"S",,,"IA2","W","U","AF4-18","Profile 9Cs/64, p. 124","AO02","Angola"
"AO0002","AO","3",1969,,175,6,"ARa",,"Qa",,"AR","Quartzipsamments","1975","Udo-Psammo Regosolos",2.3000000000000000e+01,-1.3000000000000000e+01,"D","Macombo-Lumbala road, Distr. of Moxico","Aw",,"L",,,"U","S",,"AF4-18","Profile P80/64, p. 105","AO02","Angola"
"AO0003","AO","3",1969,,175,6,"ARo",,"Qf",,"AR",,,"Solos Psammo-ferralicos vermelhos",2.3000000000000000e+01,-1.2750000000000000e+01,"M","Macondo-Lumbala road, District of Moxico","Aw",,"S",,,"U","E","U","AF4-18","Profile P142c/64, p. 132","AO02","Angola"
"AO0004","AO","3",1969,,177,5,"FRr",,"Fr",,"FR",,,"Solos Ferraliticos Tipicos Vermelhos (nao humicos)",1.5500000000000000e+01,-1.2500000000000000e+01,"M","Chianga, District of Huambo","Cwb",,"S",,,"IA","W","U","AF4-18","Profile 7Hb/64, p. 129","AO02","Angola"
"AO0005","AO","3",1969,,145,6,"FRr",,"Fh",,"FR",,,"Solos Faracamnete Ferralicos Vernelho",1.5000000000000000e+01,-1.3500000000000000e+01,"M","Curima-Caconda road, District of Huambo","Aw",,"L",,,"IA2","W","U","AF4-18","Profile 1Hb/64, p. 120","AO02","Angola"
"AO0006","AO","3",1969,,110,6,"LVh",,"Yl",,"LV",,,"Solos Pardo-avermelhados semiaridos",1.4166670000000000e+01,-1.6500000000000000e+01,"M","Gambas-Cahama, District of Huilo","BSh",,"S",,,"IB1","W","U","AF4-18","Profile 5H/64, p. 112","AO02","Angola"
"AO0007","AO","3",1969,,150,6,"LXh",,"Lf",,"LX",,,"Tipo-Fersialicos cromicas",1.5000000000000000e+01,-1.5000000000000000e+01,"D","Chiba-Pocolo road, Distr. of Huila","Cwa",,"S",,,"IB1","W",,"AF4-18","Profile P4H/64, p. 117","AO02","Angola"
"AO0008","AO","3",1969,,135,6,"VRe",,"Vp",,"VR",,,"Barros Pretos (gravinigra)",1.3966670000000001e+01,-1.5750000000000000e+01,"M","Cambos-Chibia, Distr. of Huila","BWh",,,,,"IB1","M",,"AF4-18","Profile P6h/64, p. 108","AO02","Angola"
"AO0009","AO","3",1981,,160,6,"ARg",,"Ge",,"AR","Aquic Quartzipsamments (prov.)","1975","Psammoregosolos hidromorficos",1.4000000000000000e+01,-9.0000000000000000e+00,"D","Prov. de Cuenza de Sul","BSh",,"L",,,"U","M","U","AF4-69","Profile P506/62, p. 161","AO02","Angola"
"AO0010","AO","3",1981,,150,4,"ARh",,"Qc",,"AR","Typic Quartzi/Torri-psamment (prov.)","1975","Psammoregosolos medanizados",1.3716670000000001e+01,-1.0783329999999999e+01,"M","Along road Porto Amboin to N'Gunza","BSh",,,,,"UM","E","U","AF4-69","Profile 244c/62, p. 167","AO02","Angola"
"AO0011","AO","3",1981,,105,4,"VRk",,"Vp",,"VR",,,"Litobarros negros modais",1.4000000000000000e+01,-1.0000000000000000e+01,"D","Along road Lunada to Porto Ambio","BSh",,,,,"SO2","M",,"AF4-69","Profile P150/68, p. 231","AO01","Angola"
"AO0012","AO","3",1981,,150,4,"VRk","SA","Vc","Z","VR",,,"Litobarros Pardos Sodicos-Salinos",1.5000000000000000e+01,-1.1000000000000000e+01,"D","Along Road Chingo-Carimba, Prov. Cuanza de Sul","BSh",,"SP",,,"SO1","M",,"AF4-69","Profile 239c/62, p. 247","AO02","Angola"
"AO0013","AO","3",1981,,90,3,"VRk",,"Vc",,"VR",,,"Litobarros pardos modais",1.4000000000000000e+01,-1.1000000000000000e+01,"D","Quicombo-N'Gunza Cabola","BSh",,,,,"SO1","M",,"AF4-69","Profile 228c/62, p. 243","AO02","Angola"
"AO0014","AO","3",1981,,120,5,"VRk","SA","Vp","Z","VR",,,"litobarros negros sodicos-salinicas",1.4000000000000000e+01,-1.0000000000000000e+01,"D","Road from Lunada to Porto Ambiom","BSh",,"L",,,"SO1","M",,"AF4-69","Profile P508/62, p. 234","AO02","Angola"
"AO0015","AO","3",1981,,90,3,"VRy","SO","Vp","SO","VR",,,"Litobbaros negros salinico-salinas gypsiferos",1.3500000000000000e+01,-1.0000000000000000e+01,"D","At 4 km from Porto Amboin-Cabo Ledo (Luanda)","BSh",,"L",,,"SO1","M",,"AF4-69","Profile P147/168, p. 239","AO02","Angola"
"AO0016","AO","3",1991,,150,5,"ACh",,"Af",,"AC","Typic Kandiustult","1990",,1.2233330000000000e+01,-4.8333300000000001e+00,"M",,"Aw",140,"LP",,"1","U","W","U","AF4-40","Profile 151/59, p. 112","AO01","Angola"
"AO0017","AO","3",1991,,165,6,"ACh",,"Af",,"AC","Typic Kandiustult","1990",,1.4816670000000000e+01,-1.0733330000000000e+01,"M","Province of Cuanza Sul","Aw",1210,"LP",,"5","IA1","W","U","AF4-40","Profile 57/61, p. 117","AO01","Angola"
"AO0018","AO","3",1991,,125,6,"ACh",,"Af",,"AC","Typic Kandiustult","1991",,1.7633330000000001e+01,-1.0016670000000000e+01,"M","Province of Malaja","Aw",1120,,,"1","SC2","W","U","AF4-40","Profile 77/63, p. 122","AO01","Angola"
"AO0019","AO","3",1991,,148,6,"ACh",,"Af",,"AC","Typic Kandiustult","1990",,1.2683330000000000e+01,-6.3666700000000001e+00,"M","Province de Zaire","Aw",170,,,"1","U","W","U","AF4-40","Profile 242c/60, p. 127","AO01","Angola"
"AO0020","AO","3",1991,,123,6,"ACh",,"Af",,"AC","Typic Kandiustult","1990",,1.6266670000000001e+01,-9.5000000000000000e+00,"M","Province de Malange","Aw",1110,,,"5","U","W","U","AF4-40","Profile 200/63, p. 132","AO01","Angola"
"AO0021","AO","3",1991,,150,5,"ACp",,"Ap",,"AC","Plinthic Kanhaplustult","1990",,1.4650000000000000e+01,-1.2983330000000000e+01,"M","Benguela Province, along Ganda-Ebanga road","Aw",1260,"LP",,,"IA1","W","U","AF4-40","Profile 222/57, p. 107","AO01","Angola"
"AO0022","AO","2",1991,,165,6,"FRg",,"Fa",,"FR","Typic Acrudox","1990",,1.4949999999999999e+01,-1.1966670000000001e+01,"M","Province of Curanza de Sul","Cwb",1790,"SM","MS","5","MA1","W","U","AF4-40","Profile 391/60, p. 178","AO01","Angola"
"AO0023","AO","3",1991,,160,5,"FRg",,"Fa",,"FR","Rhodic Acrustox","1990",,1.6600000000000001e+01,-1.1650000000000000e+01,"M","Province of Bie","Cwb",1700,"S","LS","25","II2","W","U","AF4-40","Profile 207/61, p. 183","AO01","Angola"
"AO0024","AO","3",1991,,160,6,"FRg",,"Fa",,"FR","Anionic Acrustox","1990",,1.4766670000000000e+01,-1.3416670000000000e+01,"M","Province of Benguela","Aw",1790,"S","MS","5","IA2","W","U","AF4-40","Profile 150/57, p. 188","AO01","Angola"
"AO0025","AO","3",1991,,170,6,"FRh",,"Fo",,"FR","Typic Kandiustult","1990",,2.3233329999999999e+01,-1.2650000000000000e+01,"M","Province of Moxico","Aw",1258,"L",,"1","SC2","W","U","AF4-40","Profile 84/64, p. 163","AO01","Angola"
"AO0026","AO","3",1991,,155,6,"FRh",,"Fo",,"FR","Typic Kandiustalf","1990",,1.4250000000000000e+01,-1.3066670000000000e+01,"M","Benguela Province","BSh",910,"LP",,"1","IA1","W","AP1","AF4-40","Profile 281/57, p. 102","AO01","Angola"
"AO0027","AO","3",1991,,126,6,"FRh",,"Fo",,"FR","Typic Haplustox","1990",,1.5283329999999999e+01,-6.8499999999999996e+00,"M","Province of Uigo","Aw",1020,"S",,"1","SC2","W","U","AF4-40","Profile 39c/60, p. 158","AO01","Angola"
"AO0028","AO","3",1991,,170,6,"FRh",,"Fo",,"FR","Typic Kandiustult","1990",,1.5016670000000000e+01,-1.0616669999999999e+01,"M","Province of Cuanza de Sul","Cwb",1343,"S","UP","15","IA1","W","U","AF4-40","Profile 81/86, p. 173","AO01","Angola"
"AO0029","AO","3",1991,,156,6,"FRh",,"Fo",,"FR","Typic Kandiustalf","1990",,1.5199999999999999e+01,-1.3300000000000001e+01,"M","Province of Benguela","Cwb",1680,"S","LS","15","IA1","W","U","AF4-40","Profile 202/57, p. 168","AO01","Angola"
"AO0030","AO","3",1991,,150,6,"FRh",,"Fo",,"FR","Typic Kandiudult","1990",,1.5100000000000000e+01,-1.1324999999999999e+01,"M","Province of Caunza Sul","Aw",1275,"SH","LS","10","IA3","W","FN","AF4-40","Profile 381/60, p. 153","AO01","Angola"
"AO0031","AO","3",1991,,125,6,"FRp",,"Fp",,"FR","Plinthic Haplustox","1990",,1.4633330000000001e+01,-1.3516670000000000e+01,"M","Province of Benguela","Cwb",1650,"SM",,"1","IA2","W","AT3","AF4-40","Profile 183/57, p. 194","AO01","Angola"
"AO0032","AO","3",1991,,140,5,"FRr",,"Fr",,"FR","Rhodic Haplustox","1990",,2.3633330000000001e+01,-1.2116669999999999e+01,"M","Province of Moxico","Aw",1378,"L",,,"IB3","W","U","AF4-40","Profile 42c/64, p. 142","AO01","Angola"
"AO0033","AO","3",1991,,170,6,"FRr",,"Fr",,"FR","Rhodic Kandiustox","1990",,1.5733330000000000e+01,-1.0616669999999999e+01,"M","Province of Cuanza Sul","Cwb",1390,"L",,"10","IB1","W","U","AF4-40","Profile 90/61, p. 137","AO01","Angola"
"AO0034","AO","3",1991,,175,6,"FRr",,"Fr",,"FR","Humic-Rhodic Haplustox","1990",,1.5816670000000000e+01,-7.5499999999999998e+00,"M","Province of Uige","Aw",1085,"L","CR","1","SC2","W","U","AF4-40","Profile 64/60, p. 205","AO01","Angola"
"AO0035","AO","3",1991,,120,6,"FRu",,"Fh",,"FR","Humic Haplustox","1990",,1.4616669999999999e+01,-1.3533329999999999e+01,"M","Province of Benguela","Cwb",1720,"S","MS","9","IA","W",,"AF4-40","Profile 180/57, p. 147","AO01","Angola"
"AO0036","AO","3",1991,,160,6,"NTu",,"Nh",,"NT","Humic-Rhodic Hapludox (not a FRu/Fh)","1990",,1.5966670000000001e+01,-1.2166670000000000e+01,"M","Districy of Huambo","Cwb",1665,"SM","LS","20","II2","W","U","AF4-40","Profile 155/56, p. 199","AO01","Angola"
"AQ0001","AQ","2",,,30,3,"LPi","SO","Zo","Li","LP",,,"Victoria Valley",1.6160056000000000e+02,-7.7331109999999995e+01,"S",,"EF",,,,,,"E","U","USDA-NRCS","AQ_02N0366","US01","Antarctica"
"AQ0002","AQ","2",,,80,5,"RGi","SO","Rx","SO","RG",,,"Granite harbour",1.6251750000000001e+02,-7.7006670000000000e+01,"S",,"EF",,,,"10","IA1","E","U","USDA-NRCS","AQ_03N0734","US01","Antarctica"
"AQ0003","AQ","2",,,70,5,"SCi",,"Zo",,"SC",,,"Snotel/Scan site",1.6029028000000000e+02,-7.7546670000000006e+01,"S",,"EF",,,,,,"E","U","USDA-NRCS","AQ-02N0364","US01","Antarctica"
"AQ0004","AQ","2",,,30,3,"SCn",,"Zo",,"SC",,,"SnowMount Flemming Climate",1.6029028000000000e+02,-7.7546670000000006e+01,"S",,"EF",,,,,,"E","U","USDA-NRCS","AQ_02N0365","US01","Antarctica"
"AQ0005","AQ","2",1990,,50,4,"LPi","SA","Zo","LI","LP",,,"Mid Beacon Valley",1.6060167000000001e+02,-7.7848609999999994e+01,"S",,"EF",,,,,,"E","U","USDA-NRCS","AQ-02N0367","US01","Antarctica"
"AQ0006","AQ","1",1990,1,45,5,"SCi","LI","Zo","LI","SC","Typic Anhyorthel","1999","Ant",1.6676222000000001e+02,-7.7848060000000004e+01,"S",,"EF",,,,,"IB2","E","U","USDA-NRCS","AQ_99P0328","US01","Antarctica"
"AQ0007","AQ","1",1999,1,80,4,"RGi","SO","Rx","Zo","RG","Calcic Anhyortel","1999","Ant004-Oil",1.6368693999999999e+02,-7.7420000000000002e+01,"S",,"EF",,,,,"MB4","E","U","USDA-NRCS","AQ_99P0326","US01","Antarctica"
"AQ0008","AQ","1",1999,1,100,6,"SCi",,"Zo",,"SC","Calcic Anhyortel","1999","Unnamed",1.6368194000000000e+02,-7.7486109999999996e+01,"S",,"EF",,,,,,"E","U","USDA-NRCS","AQ_99P0325","US01","Antarctica"
"AQ0009","AQ","1",1999,1,130,9,"SCi",,"Zo",,"SC","Nitric Anhyorthel","1999","Ant003",1.6186610999999999e+02,-7.7534999999999997e+01,"S",,"EF",,,,,"IA1","E","U","USDA-NRCS","AQ_99P0327","US01","Antarctica"
"AQ0010","AQ","2",2003,1,80,5,"RGi","SO","Rx","SO","RG",,,"Minna Bluff",1.6676611000000000e+02,-7.8511669999999995e+01,"S",,"EF",,,,,"IB2","E","U","USDA-NRCS","AQ_03N0733","US01","Antarctica"
"AR0001","AR","3",,,60,3,"ARh",,"Qc",,"AR","Typic Ustipsamment","1960",,-6.5283330000000007e+01,-3.6700000000000003e+01,"M",,"BSk",125,"LP","IN","2","U","S",,"LA40-21","303; profile 307C","AR02","Argentina"
